locus_tag	ftype	gene	EC_number	product
SRR5929605_00001	CDS	folP	2.5.1.15	Dihydropteroate synthase
SRR5929605_00001	gene	folP		
SRR5929605_00002	CDS	glmM_1	5.4.2.10	Phosphoglucosamine mutase
SRR5929605_00002	gene	glmM_1		
SRR5929605_00003	CDS	secG		Protein-export membrane protein SecG
SRR5929605_00003	gene	secG		
SRR5929605_00004	tRNA			tRNA-Leu(gag)
SRR5929605_00004	gene			
SRR5929605_00005	CDS			hypothetical protein
SRR5929605_00005	gene			
SRR5929605_00006	CDS	argG	6.3.4.5	Argininosuccinate synthase
SRR5929605_00006	gene	argG		
SRR5929605_00007	tRNA			tRNA-Met(cat)
SRR5929605_00007	gene			
SRR5929605_00008	CDS	rimP		Ribosome maturation factor RimP
SRR5929605_00008	gene	rimP		
SRR5929605_00009	CDS	nusA		Transcription termination/antitermination protein NusA
SRR5929605_00009	gene	nusA		
SRR5929605_00010	CDS	infB		Translation initiation factor IF-2
SRR5929605_00010	gene	infB		
SRR5929605_00011	CDS	rbfA		30S ribosome-binding factor
SRR5929605_00011	gene	rbfA		
SRR5929605_00012	CDS	truB	5.4.99.25	tRNA pseudouridine synthase B
SRR5929605_00012	gene	truB		
SRR5929605_00013	CDS	rpsO		30S ribosomal protein S15
SRR5929605_00013	gene	rpsO		
SRR5929605_00014	CDS	pnp	2.7.7.8	Polyribonucleotide nucleotidyltransferase
SRR5929605_00014	gene	pnp		
SRR5929605_00015	CDS	nlpI		Lipoprotein NlpI
SRR5929605_00015	gene	nlpI		
SRR5929605_00016	CDS	deaD	3.6.4.13	ATP-dependent RNA helicase DeaD
SRR5929605_00016	gene	deaD		
SRR5929605_00017	CDS	mtr		Tryptophan-specific transport protein
SRR5929605_00017	gene	mtr		
SRR5929605_00018	CDS			hypothetical protein
SRR5929605_00018	gene			
SRR5929605_00019	CDS			hypothetical protein
SRR5929605_00019	gene			
SRR5929605_00020	CDS	limB	1.14.13.107	Limonene 1,2-monooxygenase
SRR5929605_00020	gene	limB		
SRR5929605_00021	CDS			hypothetical protein
SRR5929605_00021	gene			
SRR5929605_00022	CDS	yhbU	3.4.-.-	putative protease YhbU
SRR5929605_00022	gene	yhbU		
SRR5929605_00023	CDS			hypothetical protein
SRR5929605_00023	gene			
SRR5929605_00024	CDS			hypothetical protein
SRR5929605_00024	gene			
SRR5929605_00025	CDS			hypothetical protein
SRR5929605_00025	gene			
SRR5929605_00026	CDS			hypothetical protein
SRR5929605_00026	gene			
SRR5929605_00027	CDS	yfkM	3.2.-.-	General stress protein 18
SRR5929605_00027	gene	yfkM		
SRR5929605_00028	CDS			hypothetical protein
SRR5929605_00028	gene			
SRR5929605_00029	CDS	osmY_1		Osmotically-inducible protein Y
SRR5929605_00029	gene	osmY_1		
SRR5929605_00030	CDS	diaA		DnaA initiator-associating protein DiaA
SRR5929605_00030	gene	diaA		
SRR5929605_00031	CDS			hypothetical protein
SRR5929605_00031	gene			
SRR5929605_00032	CDS	lpoA		Penicillin-binding protein activator LpoA
SRR5929605_00032	gene	lpoA		
SRR5929605_00033	CDS	rsmI	2.1.1.198	Ribosomal RNA small subunit methyltransferase I
SRR5929605_00033	gene	rsmI		
SRR5929605_00034	CDS	srlR_1		Glucitol operon repressor
SRR5929605_00034	gene	srlR_1		
SRR5929605_00035	CDS	gatD	1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase
SRR5929605_00035	gene	gatD		
SRR5929605_00036	CDS	fruA_1		PTS system fructose-specific EIIABC component
SRR5929605_00036	gene	fruA_1		
SRR5929605_00037	CDS	lacC_1	2.7.1.144	Tagatose-6-phosphate kinase
SRR5929605_00037	gene	lacC_1		
SRR5929605_00038	CDS	gatY	4.1.2.40	D-tagatose-1,6-bisphosphate aldolase subunit GatY
SRR5929605_00038	gene	gatY		
SRR5929605_00039	CDS	srlR_2		Glucitol operon repressor
SRR5929605_00039	gene	srlR_2		
SRR5929605_00040	CDS	kdgK_1	2.7.1.45	2-dehydro-3-deoxygluconokinase
SRR5929605_00040	gene	kdgK_1		
SRR5929605_00041	CDS	garD	4.2.1.42	Galactarate dehydratase (L-threo-forming)
SRR5929605_00041	gene	garD		
SRR5929605_00042	CDS	garL	4.1.2.20	5-keto-4-deoxy-D-glucarate aldolase
SRR5929605_00042	gene	garL		
SRR5929605_00043	CDS	garR_1	1.1.1.60	2-hydroxy-3-oxopropionate reductase
SRR5929605_00043	gene	garR_1		
SRR5929605_00044	CDS	garK_1	2.7.1.165	Glycerate 2-kinase
SRR5929605_00044	gene	garK_1		
SRR5929605_00045	CDS			hypothetical protein
SRR5929605_00045	gene			
SRR5929605_00046	CDS	tsaR		HTH-type transcriptional regulator TsaR
SRR5929605_00046	gene	tsaR		
SRR5929605_00047	CDS	tdcB	4.3.1.19	L-threonine dehydratase catabolic TdcB
SRR5929605_00047	gene	tdcB		
SRR5929605_00048	CDS	tdcC		Threonine/serine transporter TdcC
SRR5929605_00048	gene	tdcC		
SRR5929605_00049	CDS	tdcD	2.7.2.15	Propionate kinase
SRR5929605_00049	gene	tdcD		
SRR5929605_00050	CDS	tdcE	2.3.1.-	PFL-like enzyme TdcE
SRR5929605_00050	gene	tdcE		
SRR5929605_00051	CDS	tdcG	4.3.1.17	L-serine dehydratase TdcG
SRR5929605_00051	gene	tdcG		
SRR5929605_00052	CDS	dlsT		putative serine transporter
SRR5929605_00052	gene	dlsT		
SRR5929605_00053	CDS			hypothetical protein
SRR5929605_00053	gene			
SRR5929605_00054	CDS			hypothetical protein
SRR5929605_00054	gene			
SRR5929605_00055	CDS	yhaK		Pirin-like protein YhaK
SRR5929605_00055	gene	yhaK		
SRR5929605_00056	CDS	yhaJ_1		HTH-type transcriptional regulator YhaJ
SRR5929605_00056	gene	yhaJ_1		
SRR5929605_00057	CDS	yhaH		Inner membrane protein YhaH
SRR5929605_00057	gene	yhaH		
SRR5929605_00058	CDS	yqjG	1.8.-.-	Glutathionyl-hydroquinone reductase YqjG
SRR5929605_00058	gene	yqjG		
