locus_tag	ftype	gene	EC_number	product
SRR5750008_00001	CDS	xerD_1		Tyrosine recombinase XerD
SRR5750008_00001	gene	xerD_1		
SRR5750008_00002	CDS			hypothetical protein
SRR5750008_00002	gene			
SRR5750008_00003	CDS			hypothetical protein
SRR5750008_00003	gene			
SRR5750008_00004	CDS			hypothetical protein
SRR5750008_00004	gene			
SRR5750008_00005	CDS			hypothetical protein
SRR5750008_00005	gene			
SRR5750008_00006	CDS			hypothetical protein
SRR5750008_00006	gene			
SRR5750008_00007	CDS			hypothetical protein
SRR5750008_00007	gene			
SRR5750008_00008	CDS			hypothetical protein
SRR5750008_00008	gene			
SRR5750008_00009	CDS			hypothetical protein
SRR5750008_00009	gene			
SRR5750008_00010	CDS			hypothetical protein
SRR5750008_00010	gene			
SRR5750008_00011	CDS			hypothetical protein
SRR5750008_00011	gene			
SRR5750008_00012	CDS			hypothetical protein
SRR5750008_00012	gene			
SRR5750008_00013	CDS			hypothetical protein
SRR5750008_00013	gene			
SRR5750008_00014	CDS	dinI_1		DNA damage-inducible protein I
SRR5750008_00014	gene	dinI_1		
SRR5750008_00015	CDS			hypothetical protein
SRR5750008_00015	gene			
SRR5750008_00016	CDS			hypothetical protein
SRR5750008_00016	gene			
SRR5750008_00017	CDS			hypothetical protein
SRR5750008_00017	gene			
SRR5750008_00018	CDS			hypothetical protein
SRR5750008_00018	gene			
SRR5750008_00019	CDS			hypothetical protein
SRR5750008_00019	gene			
SRR5750008_00020	CDS			hypothetical protein
SRR5750008_00020	gene			
SRR5750008_00021	CDS			hypothetical protein
SRR5750008_00021	gene			
SRR5750008_00022	CDS			hypothetical protein
SRR5750008_00022	gene			
SRR5750008_00023	CDS			hypothetical protein
SRR5750008_00023	gene			
SRR5750008_00024	CDS			hypothetical protein
SRR5750008_00024	gene			
SRR5750008_00025	CDS			hypothetical protein
SRR5750008_00025	gene			
SRR5750008_00026	CDS			hypothetical protein
SRR5750008_00026	gene			
SRR5750008_00027	CDS			hypothetical protein
SRR5750008_00027	gene			
SRR5750008_00028	CDS			hypothetical protein
SRR5750008_00028	gene			
SRR5750008_00029	CDS			hypothetical protein
SRR5750008_00029	gene			
SRR5750008_00030	CDS			hypothetical protein
SRR5750008_00030	gene			
SRR5750008_00031	CDS			hypothetical protein
SRR5750008_00031	gene			
SRR5750008_00032	CDS			hypothetical protein
SRR5750008_00032	gene			
SRR5750008_00033	CDS			hypothetical protein
SRR5750008_00033	gene			
SRR5750008_00034	CDS			hypothetical protein
SRR5750008_00034	gene			
SRR5750008_00035	CDS	gpFI_1		Putative prophage major tail sheath protein
SRR5750008_00035	gene	gpFI_1		
SRR5750008_00036	CDS			hypothetical protein
SRR5750008_00036	gene			
SRR5750008_00037	CDS			hypothetical protein
SRR5750008_00037	gene			
SRR5750008_00038	CDS			hypothetical protein
SRR5750008_00038	gene			
SRR5750008_00039	CDS			hypothetical protein
SRR5750008_00039	gene			
SRR5750008_00040	CDS			hypothetical protein
SRR5750008_00040	gene			
SRR5750008_00041	CDS	rplS		50S ribosomal protein L19
SRR5750008_00041	gene	rplS		
SRR5750008_00042	CDS	trmD	2.1.1.228	tRNA (guanine-N(1)-)-methyltransferase
SRR5750008_00042	gene	trmD		
SRR5750008_00043	CDS	rimM		Ribosome maturation factor RimM
SRR5750008_00043	gene	rimM		
SRR5750008_00044	CDS	rpsP		30S ribosomal protein S16
SRR5750008_00044	gene	rpsP		
SRR5750008_00045	CDS	ffh		Signal recognition particle protein
