locus_tag	ftype	gene	EC_number	product
SRR6317337_00001	CDS	fliA		RNA polymerase sigma factor FliA
SRR6317337_00001	gene	fliA		
SRR6317337_00002	CDS	fliZ		Regulator of sigma S factor FliZ
SRR6317337_00002	gene	fliZ		
SRR6317337_00003	CDS	fliY_1		L-cystine-binding protein FliY
SRR6317337_00003	gene	fliY_1		
SRR6317337_00004	CDS	dcyD	4.4.1.15	D-cysteine desulfhydrase
SRR6317337_00004	gene	dcyD		
SRR6317337_00005	CDS	yecS_1		L-cystine transport system permease protein YecS
SRR6317337_00005	gene	yecS_1		
SRR6317337_00006	CDS	artM_1		Arginine transport ATP-binding protein ArtM
SRR6317337_00006	gene	artM_1		
SRR6317337_00007	CDS	sdiA		Regulatory protein SdiA
SRR6317337_00007	gene	sdiA		
SRR6317337_00008	CDS			hypothetical protein
SRR6317337_00008	gene			
SRR6317337_00009	CDS	uvrY		Response regulator UvrY
SRR6317337_00009	gene	uvrY		
SRR6317337_00010	CDS	uvrC		UvrABC system protein C
SRR6317337_00010	gene	uvrC		
SRR6317337_00011	CDS	pgsA	2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
SRR6317337_00011	gene	pgsA		
SRR6317337_00012	tRNA			tRNA-Gly(gcc)
SRR6317337_00012	gene			
SRR6317337_00013	tRNA			tRNA-Cys(gca)
SRR6317337_00013	gene			
SRR6317337_00014	tRNA			tRNA-Leu(taa)
SRR6317337_00014	gene			
SRR6317337_00015	CDS			hypothetical protein
SRR6317337_00015	gene			
SRR6317337_00016	CDS			hypothetical protein
SRR6317337_00016	gene			
SRR6317337_00017	CDS			hypothetical protein
SRR6317337_00017	gene			
SRR6317337_00018	CDS			hypothetical protein
SRR6317337_00018	gene			
SRR6317337_00019	CDS	tyrP		Tyrosine-specific transport protein
SRR6317337_00019	gene	tyrP		
SRR6317337_00020	CDS			hypothetical protein
SRR6317337_00020	gene			
SRR6317337_00021	CDS	ftnA_1	1.16.3.2	Bacterial non-heme ferritin
SRR6317337_00021	gene	ftnA_1		
SRR6317337_00022	CDS			hypothetical protein
SRR6317337_00022	gene			
SRR6317337_00023	CDS			hypothetical protein
SRR6317337_00023	gene			
SRR6317337_00024	CDS	ftnA_2	1.16.3.2	Bacterial non-heme ferritin
SRR6317337_00024	gene	ftnA_2		
SRR6317337_00025	CDS	inhA	4.2.1.103	Isonitrile hydratase
SRR6317337_00025	gene	inhA		
SRR6317337_00026	CDS	otsB	3.1.3.12	Trehalose-6-phosphate phosphatase
SRR6317337_00026	gene	otsB		
SRR6317337_00027	CDS	otsA	2.4.1.15	Trehalose-6-phosphate synthase
SRR6317337_00027	gene	otsA		
SRR6317337_00028	CDS	uspC		Universal stress protein C
SRR6317337_00028	gene	uspC		
SRR6317337_00029	CDS	flhD		Flagellar transcriptional regulator FlhD
SRR6317337_00029	gene	flhD		
SRR6317337_00030	CDS	flhC		Flagellar transcriptional regulator FlhC
SRR6317337_00030	gene	flhC		
SRR6317337_00031	CDS	motA		Motility protein A
SRR6317337_00031	gene	motA		
SRR6317337_00032	CDS	motB		Motility protein B
SRR6317337_00032	gene	motB		
SRR6317337_00033	CDS	cheA	2.7.13.3	Chemotaxis protein CheA
SRR6317337_00033	gene	cheA		
SRR6317337_00034	CDS	cheW		Chemotaxis protein CheW
SRR6317337_00034	gene	cheW		
SRR6317337_00035	CDS	tar		Methyl-accepting chemotaxis protein II
SRR6317337_00035	gene	tar		
SRR6317337_00036	CDS	cheR	2.1.1.80	Chemotaxis protein methyltransferase
SRR6317337_00036	gene	cheR		
SRR6317337_00037	CDS	cheB	3.1.1.61	Chemotaxis response regulator protein-glutamate methylesterase
SRR6317337_00037	gene	cheB		
SRR6317337_00038	CDS	cheY		Chemotaxis protein CheY
SRR6317337_00038	gene	cheY		
SRR6317337_00039	CDS			hypothetical protein
SRR6317337_00039	gene			
SRR6317337_00040	CDS	flhB		Flagellar biosynthetic protein FlhB
SRR6317337_00040	gene	flhB		
SRR6317337_00041	CDS	flhA		Flagellar biosynthesis protein FlhA
SRR6317337_00041	gene	flhA		
SRR6317337_00042	CDS	flhE		Flagellar protein FlhE
SRR6317337_00042	gene	flhE		
SRR6317337_00043	CDS	yesR	3.2.1.172	Unsaturated rhamnogalacturonyl hydrolase YesR
SRR6317337_00043	gene	yesR		
SRR6317337_00044	CDS	mrdA_1	3.4.16.4	Peptidoglycan D,D-transpeptidase MrdA
SRR6317337_00044	gene	mrdA_1		
SRR6317337_00045	CDS	argS	6.1.1.19	Arginine--tRNA ligase
SRR6317337_00045	gene	argS		
SRR6317337_00046	CDS			hypothetical protein
SRR6317337_00046	gene			
SRR6317337_00047	CDS	cutC_1		Copper homeostasis protein CutC
SRR6317337_00047	gene	cutC_1		
SRR6317337_00048	CDS	cmoB	2.5.1.-	tRNA U34 carboxymethyltransferase
SRR6317337_00048	gene	cmoB		
SRR6317337_00049	CDS	cmoA	2.1.3.-	Carboxy-S-adenosyl-L-methionine synthase
SRR6317337_00049	gene	cmoA		
SRR6317337_00050	CDS	yecN		Inner membrane protein YecN
SRR6317337_00050	gene	yecN		
SRR6317337_00051	CDS			hypothetical protein
SRR6317337_00051	gene			
SRR6317337_00052	CDS	yecD	3.-.-.-	Isochorismatase family protein YecD
SRR6317337_00052	gene	yecD		
SRR6317337_00053	CDS	aspS	6.1.1.12	Aspartate--tRNA ligase
SRR6317337_00053	gene	aspS		
SRR6317337_00054	CDS	nudB	3.6.1.67	Dihydroneopterin triphosphate diphosphatase
SRR6317337_00054	gene	nudB		
SRR6317337_00055	CDS	yebC		putative transcriptional regulatory protein YebC
SRR6317337_00055	gene	yebC		
SRR6317337_00056	CDS	ruvC	3.1.22.4	Crossover junction endodeoxyribonuclease RuvC
SRR6317337_00056	gene	ruvC		
SRR6317337_00057	CDS			hypothetical protein
SRR6317337_00057	gene			
SRR6317337_00058	CDS			hypothetical protein
SRR6317337_00058	gene			
SRR6317337_00059	CDS	ruvA	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvA
SRR6317337_00059	gene	ruvA		
SRR6317337_00060	CDS	ruvB	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvB
SRR6317337_00060	gene	ruvB		
SRR6317337_00061	CDS	znuB		High-affinity zinc uptake system membrane protein ZnuB
SRR6317337_00061	gene	znuB		
SRR6317337_00062	CDS	znuC_1	3.6.3.-	Zinc import ATP-binding protein ZnuC
SRR6317337_00062	gene	znuC_1		
SRR6317337_00063	CDS	znuA		High-affinity zinc uptake system protein ZnuA
SRR6317337_00063	gene	znuA		
SRR6317337_00064	CDS	mepM	3.4.24.-	Murein DD-endopeptidase MepM
SRR6317337_00064	gene	mepM		
SRR6317337_00065	CDS	lpxM	2.3.1.243	Lipid A biosynthesis myristoyltransferase
SRR6317337_00065	gene	lpxM		
SRR6317337_00066	CDS	pykA	2.7.1.40	Pyruvate kinase II
SRR6317337_00066	gene	pykA		
SRR6317337_00067	CDS	hexR_1		HTH-type transcriptional regulator HexR
SRR6317337_00067	gene	hexR_1		
SRR6317337_00068	CDS	zwf	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase
SRR6317337_00068	gene	zwf		
